@relation Enem2019IFmuz

@attribute NU_NOTA_CN Numeric
@attribute NU_NOTA_CH Numeric
@attribute NU_NOTA_LC Numeric
@attribute NU_NOTA_MT Numeric
@attribute NU_NOTA_REDACAO Numeric
@attribute SEXO {'Masculino','Feminino'}
@attribute COR_RACA {'Nao declarado','Branca','Preta','Parda','Amarela','Indigena'}
@attribute TIPO_ESCOLA {'Nao Respondeu','Publica','Privada','Exterior'}
@attribute ESCOLARIDADE_PAI {'Nunca Estudou','Nao Completou 4serie/5ano','Completou 4serie/5ano','Completou 8serie/9ano','Completou Ensino Medio','Completou Faculdade','Completou Pos-graduacao','Nao Sei'}
@attribute ESCOLARIDADE_MAE {'Nunca Estudou','Nao Completou 4serie/5ano','Completou 4serie/5ano','Completou 8serie/9ano','Completou Ensino Medio','Completou Faculdade','Completou Pos-graduacao','Nao Sei'}
@attribute RENDA_FAMILIAR {'Nenhuma renda','Ate R$998,00','De R$998,01 ate R$1494,00','De R$1494,00 ate R$1996,00','De R$1996,01 ate R$2495,00','De R$2495,01 ate R$2994,00','De R$2994,01 ate R$3992,00','De R$3992,01 ate R$4990,0','De R$4990,01 ate R$5988,00','De R$5988,01 ate R$6986,00','De R$6986,01 ate R$7984,00','De R$7984,01 ate R$8982,00','De R$8982,01 ate R$9980,00','De R$9980,01 ate R$11976,00','De R$11976,01 ate R$14970,00','De R$14970,01 ate R$19960,00','Mais de R$19960,00'}
@attribute POSSUI_COMPUTADOR {'Nao','Sim,um','Sim,dois','Sim,tres','Sim,quatro ou mais'}
@attribute ACESSO_INTERNET {'Nao','Sim'}
@attribute NOTA_CIENCIASNATUREZA {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_CIENCIASHUMANAS {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_LINGUAGENSCODIGOS {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_MATEMATICA {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_REDACAO {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}

@data
532.0,551.4,540.0,582.1,640.0,'Feminino','Branca','Publica','Completou 4serie/5ano','Completou 8serie/9ano','Ate R$998,00','Nao','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700'
597.2,628.8,625.2,816.4,860.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Pos-graduacao','De R$1996,01 ate R$2495,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_600-700','Entre_800-900','Entre_800-900'
616.8,654.5,628.4,852.4,600.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou Pos-graduacao','De R$9980,01 ate R$11976,00','Sim,dois','Sim','Entre_600-700','Entre_600-700','Entre_600-700','Entre_800-900','Entre_500-600'
510.1,529.3,541.7,502.2,780.0,'Feminino','Parda','Publica','Completou 4serie/5ano','Nao Completou 4serie/5ano','De R$2495,01 ate R$2994,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_500-600','Entre_700-800'
507.6,368.8,559.7,383.6,440.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$998,01 ate R$1494,00','Nao','Sim','Entre_500-600','Abaixo_500','Entre_500-600','Abaixo_500','Abaixo_500'
605.3,598.1,618.5,693.5,600.0,'Feminino','Branca','Publica','Nunca Estudou','Completou Ensino Medio','Ate R$998,00','Sim,um','Sim','Entre_600-700','Entre_500-600','Entre_600-700','Entre_600-700','Entre_500-600'
576.1,641.1,606.0,755.5,700.0,'Feminino','Branca','Publica','Completou 8serie/9ano','Completou Faculdade','De R$1996,01 ate R$2495,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_600-700','Entre_700-800','Entre_600-700'
489.2,507.6,565.9,525.6,800.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$1996,01 ate R$2495,00','Sim,um','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_500-600','Entre_700-800'
574.0,552.9,522.1,633.8,720.0,'Feminino','Parda','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$1996,01 ate R$2495,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_700-800'
510.3,520.1,529.5,397.4,660.0,'Feminino','Preta','Publica','Completou Faculdade','Completou Faculdade','De R$998,01 ate R$1494,00','Sim,dois','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Abaixo_500','Entre_600-700'
