@relation Enem2019IFmuz

@attribute NU_NOTA_CN Numeric
@attribute NU_NOTA_CH Numeric
@attribute NU_NOTA_LC Numeric
@attribute NU_NOTA_MT Numeric
@attribute NU_NOTA_REDACAO Numeric
@attribute SEXO {'Masculino','Feminino'}
@attribute COR_RACA {'Nao declarado','Branca','Preta','Parda','Amarela','Indigena'}
@attribute TIPO_ESCOLA {'Nao Respondeu','Publica','Privada','Exterior'}
@attribute ESCOLARIDADE_PAI {'Nunca Estudou','Nao Completou 4serie/5ano','Completou 4serie/5ano','Completou 8serie/9ano','Completou Ensino Medio','Completou Faculdade','Completou Pos-graduacao','Nao Sei'}
@attribute ESCOLARIDADE_MAE {'Nunca Estudou','Nao Completou 4serie/5ano','Completou 4serie/5ano','Completou 8serie/9ano','Completou Ensino Medio','Completou Faculdade','Completou Pos-graduacao','Nao Sei'}
@attribute RENDA_FAMILIAR {'Nenhuma renda','Ate R$998,00','De R$998,01 ate R$1494,00','De R$1494,00 ate R$1996,00','De R$1996,01 ate R$2495,00','De R$2495,01 ate R$2994,00','De R$2994,01 ate R$3992,00','De R$3992,01 ate R$4990,0','De R$4990,01 ate R$5988,00','De R$5988,01 ate R$6986,00','De R$6986,01 ate R$7984,00','De R$7984,01 ate R$8982,00','De R$8982,01 ate R$9980,00','De R$9980,01 ate R$11976,00','De R$11976,01 ate R$14970,00','De R$14970,01 ate R$19960,00','Mais de R$19960,00'}
@attribute POSSUI_COMPUTADOR {'Nao','Sim,um','Sim,dois','Sim,tres','Sim,quatro ou mais'}
@attribute ACESSO_INTERNET {'Nao','Sim'}
@attribute NOTA_CIENCIASNATUREZA {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_CIENCIASHUMANAS {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_LINGUAGENSCODIGOS {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_MATEMATICA {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}
@attribute NOTA_REDACAO {'Abaixo_500','Entre_500-600', 'Entre_600-700', 'Entre_700-800', 'Entre_800-900', 'Entre_900-1000'}

@data
603.9,600.8,595.1,672.8,660.0,'Masculino','Branca','Publica','Completou 4serie/5ano','Nao Completou 4serie/5ano','De R$998,01 ate R$1494,00','Nao','Sim','Entre_600-700','Entre_600-700','Entre_500-600','Entre_600-700','Entre_600-700'
605.0,609.0,628.7,814.0,820.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou Faculdade','De R$7984,01 ate R$8982,00','Sim,tres','Sim','Entre_600-700','Entre_600-700','Entre_600-700','Entre_800-900','Entre_800-900'
589.6,555.8,584.0,692.8,640.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_600-700'
565.4,612.7,588.3,611.0,940.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$2994,01 ate R$3992,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_600-700','Entre_900-1000'
541.9,502.8,531.4,378.5,880.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','Ate R$998,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Abaixo_500','Entre_800-900'
589.4,558.7,591.9,692.5,780.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$2495,01 ate R$2994,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_700-800'
571.1,600.5,563.7,678.7,720.0,'Masculino','Parda','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$1996,01 ate R$2495,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_600-700','Entre_700-800'
473.5,604.2,580.8,584.7,760.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou 8serie/9ano','De R$3992,01 ate R$4990,0','Sim,um','Sim','Abaixo_500','Entre_600-700','Entre_500-600','Entre_500-600','Entre_700-800'
507.8,411.4,501.2,405.1,580.0,'Feminino','Branca','Publica','Completou 8serie/9ano','Completou Faculdade','De R$1494,00 ate R$1996,00','Nao','Sim','Entre_500-600','Abaixo_500','Entre_500-600','Abaixo_500','Entre_500-600'
491.5,575.5,535.3,529.2,360.0,'Feminino','Branca','Publica','Completou 8serie/9ano','Completou 8serie/9ano','De R$998,01 ate R$1494,00','Sim,um','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_500-600','Abaixo_500'
552.2,542.4,561.1,463.9,600.0,'Masculino','Parda','Publica','Completou Faculdade','Completou 8serie/9ano','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Abaixo_500','Entre_500-600'
602.5,549.4,585.6,652.3,760.0,'Masculino','Branca','Publica','Completou 8serie/9ano','Completou 4serie/5ano','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_600-700','Entre_500-600','Entre_500-600','Entre_600-700','Entre_700-800'
582.4,623.1,619.4,678.8,920.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Pos-graduacao','De R$6986,01 ate R$7984,00','Sim,tres','Sim','Entre_500-600','Entre_600-700','Entre_600-700','Entre_600-700','Entre_900-1000'
522.8,507.7,471.8,596.9,700.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Abaixo_500','Entre_500-600','Entre_600-700'
602.8,633.3,614.9,800.0,640.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou Pos-graduacao','De R$3992,01 ate R$4990,0','Sim,dois','Sim','Entre_600-700','Entre_600-700','Entre_600-700','Entre_700-800','Entre_600-700'
565.1,541.2,544.2,461.4,660.0,'Masculino','Parda','Publica','Nao Sei','Nao Sei','De R$1996,01 ate R$2495,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Abaixo_500','Entre_600-700'
513.3,507.4,502.8,667.0,740.0,'Masculino','Branca','Publica','Completou 8serie/9ano','Completou Pos-graduacao','De R$2994,01 ate R$3992,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_700-800'
570.6,599.1,597.4,542.0,800.0,'Masculino','Preta','Publica','Completou 8serie/9ano','Completou Faculdade','De R$1996,01 ate R$2495,00','Sim,dois','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_500-600','Entre_700-800'
488.3,574.0,564.8,670.2,820.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou 8serie/9ano','De R$2495,01 ate R$2994,00','Sim,um','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_600-700','Entre_800-900'
528.2,412.0,520.0,515.2,580.0,'Feminino','Branca','Publica','Nao Completou 4serie/5ano','Nao Completou 4serie/5ano','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_500-600','Abaixo_500','Entre_500-600','Entre_500-600','Entre_500-600'
570.3,577.4,517.9,740.5,680.0,'Masculino','Parda','Publica','Nao Completou 4serie/5ano','Nao Completou 4serie/5ano','De R$998,01 ate R$1494,00','Nao','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_700-800','Entre_600-700'
513.6,498.7,548.2,545.3,560.0,'Masculino','Branca','Publica','Nao Completou 4serie/5ano','Nao Completou 4serie/5ano','Ate R$998,00','Sim,um','Sim','Entre_500-600','Abaixo_500','Entre_500-600','Entre_500-600','Entre_500-600'
628.3,624.6,595.4,742.5,800.0,'Masculino','Branca','Publica','Completou 4serie/5ano','Completou 4serie/5ano','De R$1494,00 ate R$1996,00','Sim,um','Nao','Entre_600-700','Entre_600-700','Entre_500-600','Entre_700-800','Entre_700-800'
546.6,534.3,562.2,703.1,780.0,'Masculino','Branca','Publica','Completou 8serie/9ano','Completou Ensino Medio','De R$1494,00 ate R$1996,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_700-800','Entre_700-800'
542.0,571.5,575.8,635.9,720.0,'Feminino','Branca','Publica','Completou 4serie/5ano','Completou 4serie/5ano','De R$2994,01 ate R$3992,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_700-800'
513.7,486.1,558.6,620.5,680.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$1996,01 ate R$2495,00','Sim,um','Sim','Entre_500-600','Abaixo_500','Entre_500-600','Entre_600-700','Entre_600-700'
476.4,463.1,525.2,563.1,300.0,'Masculino','Parda','Publica','Completou Ensino Medio','Completou Faculdade','De R$2994,01 ate R$3992,00','Sim,um','Sim','Abaixo_500','Abaixo_500','Entre_500-600','Entre_500-600','Abaixo_500'
591.1,605.3,608.2,669.1,660.0,'Masculino','Branca','Publica','Completou 4serie/5ano','Completou 4serie/5ano','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_600-700','Entre_600-700','Entre_600-700'
569.4,552.1,580.6,647.4,780.0,'Masculino','Preta','Publica','Nao Completou 4serie/5ano','Completou Faculdade','De R$2495,01 ate R$2994,00','Nao','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_700-800'
560.3,607.8,525.3,719.8,740.0,'Masculino','Branca','Publica','Completou 4serie/5ano','Completou Pos-graduacao','De R$2495,01 ate R$2994,00','Nao','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_700-800','Entre_700-800'
559.1,622.8,626.0,650.8,780.0,'Feminino','Branca','Publica','Completou Pos-graduacao','Completou Faculdade','De R$6986,01 ate R$7984,00','Sim,dois','Sim','Entre_500-600','Entre_600-700','Entre_600-700','Entre_600-700','Entre_700-800'
569.2,578.7,555.9,655.8,820.0,'Masculino','Branca','Publica','Completou 4serie/5ano','Completou 4serie/5ano','De R$1494,00 ate R$1996,00','Nao','Nao','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_800-900'
452.9,548.5,580.5,590.8,720.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Pos-graduacao','De R$8982,01 ate R$9980,00','Sim,um','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_500-600','Entre_700-800'
527.9,531.9,519.0,513.8,760.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Faculdade','De R$2495,01 ate R$2994,00','Nao','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_500-600','Entre_700-800'
627.2,650.6,641.9,692.8,940.0,'Masculino','Nao declarado','Publica','Completou Faculdade','Completou Faculdade','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_600-700','Entre_600-700','Entre_600-700','Entre_600-700','Entre_900-1000'
616.3,602.3,611.0,648.9,860.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_600-700','Entre_600-700','Entre_600-700','Entre_600-700','Entre_800-900'
571.8,577.8,594.5,790.2,720.0,'Masculino','Nao declarado','Publica','Completou Ensino Medio','Completou Pos-graduacao','De R$2994,01 ate R$3992,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_700-800','Entre_700-800'
411.8,435.0,483.5,517.6,600.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou Faculdade','De R$4990,01 ate R$5988,00','Sim,um','Sim','Abaixo_500','Abaixo_500','Abaixo_500','Entre_500-600','Entre_500-600'
444.4,587.9,572.4,677.3,640.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou 8serie/9ano','De R$3992,01 ate R$4990,0','Sim,um','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_600-700','Entre_600-700'
575.7,630.6,613.4,655.4,840.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$5988,01 ate R$6986,00','Sim,dois','Sim','Entre_500-600','Entre_600-700','Entre_600-700','Entre_600-700','Entre_800-900'
619.1,619.6,619.3,648.8,880.0,'Masculino','Branca','Publica','Completou 4serie/5ano','Completou Ensino Medio','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_600-700','Entre_600-700','Entre_600-700','Entre_600-700','Entre_800-900'
644.4,599.8,612.4,803.7,880.0,'Masculino','Nao declarado','Publica','Nao Completou 4serie/5ano','Completou 4serie/5ano','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_600-700','Entre_500-600','Entre_600-700','Entre_800-900','Entre_800-900'
410.3,565.0,563.2,586.2,800.0,'Feminino','Branca','Publica','Completou 4serie/5ano','Completou Ensino Medio','De R$998,01 ate R$1494,00','Sim,um','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_500-600','Entre_700-800'
601.2,645.4,579.8,688.2,720.0,'Masculino','Branca','Publica','Nao Completou 4serie/5ano','Nao Sei','Ate R$998,00','Nao','Nao','Entre_600-700','Entre_600-700','Entre_500-600','Entre_600-700','Entre_700-800'
543.6,560.9,533.4,408.4,740.0,'Feminino','Preta','Publica','Nao Completou 4serie/5ano','Nao Completou 4serie/5ano','Ate R$998,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Abaixo_500','Entre_700-800'
510.1,581.3,602.7,651.3,560.0,'Masculino','Branca','Publica','Completou 8serie/9ano','Completou Ensino Medio','De R$998,01 ate R$1494,00','Nao','Sim','Entre_500-600','Entre_500-600','Entre_600-700','Entre_600-700','Entre_500-600'
601.0,645.5,624.9,712.9,700.0,'Masculino','Branca','Publica','Nao Completou 4serie/5ano','Completou 4serie/5ano','De R$1494,00 ate R$1996,00','Nao','Sim','Entre_600-700','Entre_600-700','Entre_600-700','Entre_700-800','Entre_600-700'
458.4,559.7,571.4,640.9,840.0,'Feminino','Branca','Publica','Completou 8serie/9ano','Completou 4serie/5ano','De R$1996,01 ate R$2495,00','Sim,um','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_600-700','Entre_800-900'
570.8,611.2,583.6,689.0,940.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou Faculdade','Ate R$998,00','Nao','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_600-700','Entre_900-1000'
464.9,500.3,566.0,493.6,640.0,'Feminino','Branca','Publica','Completou 8serie/9ano','Nao Completou 4serie/5ano','De R$998,01 ate R$1494,00','Sim,dois','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Abaixo_500','Entre_600-700'
509.7,544.5,520.8,430.6,680.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou 4serie/5ano','Ate R$998,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Abaixo_500','Entre_600-700'
459.5,454.1,477.7,655.8,560.0,'Masculino','Parda','Publica','Completou Ensino Medio','Completou Ensino Medio','De R$1494,00 ate R$1996,00','Sim,um','Sim','Abaixo_500','Abaixo_500','Abaixo_500','Entre_600-700','Entre_500-600'
579.5,485.7,509.9,591.6,680.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou Pos-graduacao','De R$1996,01 ate R$2495,00','Nao','Sim','Entre_500-600','Abaixo_500','Entre_500-600','Entre_500-600','Entre_600-700'
569.1,630.9,587.8,748.0,860.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou 8serie/9ano','De R$3992,01 ate R$4990,0','Nao','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_700-800','Entre_800-900'
576.8,605.3,573.8,682.6,680.0,'Masculino','Branca','Publica','Completou Faculdade','Completou Faculdade','De R$1996,01 ate R$2495,00','Sim,dois','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_600-700','Entre_600-700'
456.0,474.5,509.7,373.5,540.0,'Feminino','Parda','Publica','Completou 4serie/5ano','Completou Ensino Medio','De R$1996,01 ate R$2495,00','Sim,um','Sim','Abaixo_500','Abaixo_500','Entre_500-600','Abaixo_500','Entre_500-600'
543.6,524.9,515.1,559.4,560.0,'Feminino','Branca','Publica','Completou 8serie/9ano','Completou Ensino Medio','De R$1494,00 ate R$1996,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_500-600','Entre_500-600'
441.9,552.6,544.5,640.7,640.0,'Masculino','Branca','Publica','Completou 4serie/5ano','Completou Pos-graduacao','De R$2495,01 ate R$2994,00','Nao','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_600-700','Entre_600-700'
574.0,626.7,588.4,578.8,660.0,'Feminino','Branca','Publica','Nao Completou 4serie/5ano','Completou 4serie/5ano','De R$1996,01 ate R$2495,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_500-600','Entre_600-700'
535.2,577.8,535.5,680.8,640.0,'Masculino','Branca','Publica','Completou Ensino Medio','Completou Pos-graduacao','De R$3992,01 ate R$4990,0','Sim,dois','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_600-700'
528.7,573.6,585.1,637.1,920.0,'Masculino','Branca','Publica','Nao Completou 4serie/5ano','Completou Ensino Medio','De R$1494,00 ate R$1996,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_900-1000'
609.9,575.9,582.3,665.6,760.0,'Masculino','Parda','Publica','Completou 8serie/9ano','Completou Pos-graduacao','De R$6986,01 ate R$7984,00','Sim,tres','Sim','Entre_600-700','Entre_500-600','Entre_500-600','Entre_600-700','Entre_700-800'
504.0,555.9,526.2,594.1,600.0,'Masculino','Parda','Publica','Completou Ensino Medio','Completou Faculdade','De R$2495,01 ate R$2994,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_500-600','Entre_500-600'
526.6,574.2,589.2,611.6,640.0,'Masculino','Branca','Publica','Completou 4serie/5ano','Nao Completou 4serie/5ano','Ate R$998,00','Nao','Nao','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_600-700'
585.0,555.4,583.3,730.4,780.0,'Masculino','Parda','Publica','Completou 4serie/5ano','Completou Faculdade','De R$1494,00 ate R$1996,00','Nao','Nao','Entre_500-600','Entre_500-600','Entre_500-600','Entre_700-800','Entre_700-800'
476.6,543.7,576.9,604.0,600.0,'Masculino','Nao declarado','Publica','Nao Completou 4serie/5ano','Nao Completou 4serie/5ano','De R$1996,01 ate R$2495,00','Sim,um','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_600-700','Entre_500-600'
591.5,579.8,537.6,651.8,820.0,'Feminino','Branca','Publica','Completou Ensino Medio','Nao Completou 4serie/5ano','De R$2495,01 ate R$2994,00','Sim,um','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Entre_800-900'
576.6,618.5,544.8,599.0,820.0,'Masculino','Branca','Publica','Completou Pos-graduacao','Completou Faculdade','De R$1494,00 ate R$1996,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_500-600','Entre_800-900'
553.6,614.2,583.0,735.0,720.0,'Masculino','Branca','Publica','Completou 8serie/9ano','Completou 8serie/9ano','De R$998,01 ate R$1494,00','Sim,um','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_700-800','Entre_700-800'
485.9,542.4,550.9,588.7,640.0,'Feminino','Branca','Publica','Nao Completou 4serie/5ano','Nao Completou 4serie/5ano','Ate R$998,00','Nao','Sim','Abaixo_500','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700'
571.1,598.6,506.9,678.1,480.0,'Masculino','Branca','Privada','Completou Ensino Medio','Completou Ensino Medio','De R$998,01 ate R$1494,00','Nao','Sim','Entre_500-600','Entre_500-600','Entre_500-600','Entre_600-700','Abaixo_500'
572.8,630.8,581.5,648.7,800.0,'Feminino','Branca','Publica','Completou Ensino Medio','Completou Ensino Medio','Ate R$998,00','Nao','Sim','Entre_500-600','Entre_600-700','Entre_500-600','Entre_600-700','Entre_700-800'
