;TP_SEXO;TP_COR_RACA;TP_ESCOLA;CO_ESCOLA;NO_MUNICIPIO_ESC;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q001;Q002;Q006;Q024;Q025
1807494;F;1;2;31242624.0;Muzambinho;537.2;495.9;578.5;665.5;800.0;D;C;G;B;B
1807945;M;1;2;31242624.0;Muzambinho;617.8;580.0;581.0;674.0;600.0;E;G;C;B;B
1817329;M;3;2;31242624.0;Muzambinho;493.2;410.7;539.8;513.6;560.0;E;E;F;B;B
1824393;M;1;2;31242624.0;Muzambinho;603.9;600.8;595.1;672.8;660.0;C;B;C;A;B
1824420;M;1;2;31242624.0;Muzambinho;605.0;609.0;628.7;814.0;820.0;E;F;L;D;B
1829769;F;1;2;31242624.0;Muzambinho;589.6;555.8;584.0;692.8;640.0;E;E;C;B;B
1836282;F;1;2;31242624.0;Muzambinho;565.4;612.7;588.3;611.0;940.0;E;E;G;B;B
1850475;F;1;2;31242624.0;Muzambinho;541.9;502.8;531.4;378.5;880.0;E;E;B;B;B
2126282;M;1;2;31242624.0;Muzambinho;589.4;558.7;591.9;692.5;780.0;E;E;F;B;B
2136424;M;3;2;31242624.0;Muzambinho;571.1;600.5;563.7;678.7;720.0;E;E;E;B;B
2173991;F;1;2;31242624.0;Muzambinho;473.5;604.2;580.8;584.7;760.0;E;D;H;B;B
2176814;F;1;2;31242624.0;Muzambinho;507.8;411.4;501.2;405.1;580.0;D;F;D;A;B
2453633;F;1;2;31242624.0;Muzambinho;491.5;575.5;535.3;529.2;360.0;D;D;C;B;B
2459651;M;3;2;31242624.0;Muzambinho;552.2;542.4;561.1;463.9;600.0;F;D;C;B;B
2466795;M;1;2;31242624.0;Muzambinho;602.5;549.4;585.6;652.3;760.0;D;C;C;B;B
2473346;F;1;2;31242624.0;Muzambinho;582.4;623.1;619.4;678.8;920.0;E;G;K;D;B
2492299;M;1;2;31242624.0;Muzambinho;522.8;507.7;471.8;596.9;700.0;E;E;C;B;B
2516618;M;1;2;31242624.0;Muzambinho;602.8;633.3;614.9;800.0;640.0;E;G;H;C;B
2519176;M;3;2;31242624.0;Muzambinho;565.1;541.2;544.2;461.4;660.0;H;H;E;B;B
2519419;M;1;2;31242624.0;Muzambinho;513.3;507.4;502.8;667.0;740.0;D;G;G;B;B
2522315;M;2;2;31242624.0;Muzambinho;570.6;599.1;597.4;542.0;800.0;D;F;E;C;B
2526597;F;1;2;31242624.0;Muzambinho;488.3;574.0;564.8;670.2;820.0;E;D;F;B;B
2541708;F;1;2;31242624.0;Muzambinho;528.2;412.0;520.0;515.2;580.0;B;B;C;B;B
2546253;M;3;2;31242624.0;Muzambinho;570.3;577.4;517.9;740.5;680.0;B;B;C;A;B
2792627;M;1;2;31242624.0;Muzambinho;513.6;498.7;548.2;545.3;560.0;B;B;B;B;B
2800027;M;1;2;31242624.0;Muzambinho;628.3;624.6;595.4;742.5;800.0;C;C;D;B;A
2812563;M;1;2;31242624.0;Muzambinho;546.6;534.3;562.2;703.1;780.0;D;E;D;B;B
2979818;F;1;2;31242624.0;Muzambinho;542.0;571.5;575.8;635.9;720.0;C;C;G;B;B
2980197;F;1;2;31242624.0;Muzambinho;513.7;486.1;558.6;620.5;680.0;E;E;E;B;B
2987368;M;3;2;31242624.0;Muzambinho;476.4;463.1;525.2;563.1;300.0;E;F;G;B;B
2990045;M;1;2;31242624.0;Muzambinho;591.1;605.3;608.2;669.1;660.0;C;C;C;B;B
3021069;M;2;2;31242624.0;Muzambinho;569.4;552.1;580.6;647.4;780.0;B;F;F;A;B
3024322;M;1;2;31242624.0;Muzambinho;560.3;607.8;525.3;719.8;740.0;C;G;F;A;B
3027826;F;1;2;31242624.0;Muzambinho;559.1;622.8;626.0;650.8;780.0;G;F;K;C;B
3174332;M;1;2;31242624.0;Muzambinho;569.2;578.7;555.9;655.8;820.0;C;C;D;A;A
